unix_soc, micro_sec, frame_number, optical_input, keypad_button, channel_1, channel_2, channel_3, channel_4, channel_5, channel_6, channel_7, channel_8
1659375612, 15870, 498, 0, 0, 4639659, 2140936, -77971, 7261833, 6215044, 4214683, 4174665, 4582174
1659375612, 17791, 499, 0, 0, 4631305, 2121441, -84294, 7258669, 6213192, 4184311, 4172840, 4563671
1659375612, 19791, 499, 0, 0, 4621424, 2096606, -91811, 7254978, 6210914, 4148701, 4169703, 4542987
1659375612, 21791, 499, 0, 0, 4609584, 2066557, -100712, 7250229, 6207996, 4107273, 4165616, 4519587
1659375612, 23791, 499, 0, 0, 4602626, 2047776, -105976, 7247501, 6206098, 4084328, 4162461, 4507531
1659375612, 25791, 499, 0, 0, 4602024, 2045144, -106529, 7247029, 6205783, 4084604, 4161437, 4508786
1659375612, 27791, 499, 0, 0, 4605543, 2053778, -103946, 7248056, 6206453, 4099981, 4162237, 4518403
1659375612, 29791, 499, 0, 0, 4615582, 2078392, -96697, 7251936, 6208856, 4137216, 4165178, 4540175
1659375612, 31791, 499, 0, 0, 4632236, 2118793, -85017, 7258709, 6213196, 4194756, 4170283, 4572729
1659375612, 33791, 499, 0, 0, 4641666, 2143034, -78682, 7262589, 6215873, 4225338, 4174262, 4588690
1659375612, 35791, 499, 0, 0, 4639947, 2140751, -80197, 7261806, 6215824, 4217339, 4175227, 4582364
1659375612, 37791, 499, 0, 0, 4631708, 2121482, -86439, 7258868, 6214004, 4187211, 4173448, 4564037
1659375612, 39791, 499, 0, 0, 4621825, 2096718, -93992, 7255032, 6211629, 4151638, 4170258, 4543340
1659375612, 41791, 499, 0, 0, 4609926, 2066615, -102995, 7250504, 6208651, 4110083, 4166103, 4519828
1659375612, 43791, 499, 0, 0, 4602839, 2047484, -108399, 7247733, 6206773, 4086601, 4162925, 4507454
1659375612, 45791, 499, 0, 0, 4602154, 2044640, -109054, 7247413, 6206394, 4086584, 4161843, 4508536
1659375612, 47791, 499, 0, 0, 4605641, 2053125, -106507, 7248476, 6207099, 4101751, 4162692, 4518067
1659375612, 49743, 500, 0, 0, 4615512, 2077360, -99366, 7252081, 6209474, 4138469, 4165600, 4539575
1659375612, 51743, 500, 0, 0, 4632119, 2117725, -87660, 7258671, 6213815, 4195999, 4170748, 4572126
1659375612, 53743, 500, 0, 0, 4641709, 2142443, -81211, 7262614, 6216523, 4227339, 4174808, 4588501
1659375612, 55743, 500, 0, 0, 4640126, 2140544, -82689, 7261976, 6216449, 4219917, 4175773, 4582465
1659375612, 57743, 500, 0, 0, 4631944, 2121431, -88921, 7258881, 6214646, 4189924, 4173995, 4564238
1659375612, 59743, 500, 0, 0, 4622126, 2096714, -96495, 7255402, 6212303, 4154387, 4170756, 4543596
1659375612, 61743, 500, 0, 0, 4610230, 2066547, -105516, 7250993, 6209294, 4112718, 4166524, 4520008
1659375612, 63743, 500, 0, 0, 4602928, 2046965, -111099, 7248226, 6207304, 4088588, 4163208, 4507216
1659375612, 65743, 500, 0, 0, 4602171, 2043856, -111821, 7247638, 6206974, 4088213, 4162131, 4508109
1659375612, 67743, 500, 0, 0, 4605555, 2052073, -109367, 7248701, 6207663, 4103053, 4162923, 4517446
1659375612, 69743, 500, 0, 0, 4615293, 2075931, -102351, 7252301, 6210006, 4139273, 4165799, 4538659
1659375612, 71743, 500, 0, 0, 4631890, 2116218, -90655, 7259039, 6214305, 4196784, 4170877, 4571223
1659375612, 73743, 500, 0, 0, 4641691, 2141478, -84004, 7263153, 6217084, 4228884, 4174971, 4588075
1659375612, 75743, 500, 0, 0, 4640278, 2140099, -85262, 7262363, 6217073, 4222101, 4176024, 4582421
1659375612, 77743, 500, 0, 0, 4632129, 2121178, -91399, 7259198, 6215296, 4192330, 4174313, 4564295
1659375612, 79743, 500, 0, 0, 4622386, 2096608, -98896, 7255769, 6213037, 4157001, 4171161, 4543771
1659375612, 81665, 501, 0, 0, 4610582, 2066593, -107801, 7251280, 6210134, 4115456, 4167029, 4520283
1659375612, 83665, 501, 0, 0, 4603141, 2046692, -113465, 7248536, 6208083, 4090862, 4163662, 4507209
1659375612, 85665, 501, 0, 0, 4602298, 2043387, -114219, 7248098, 6207677, 4090289, 4162518, 4507939
1659375612, 87665, 501, 0, 0, 4605604, 2051383, -111823, 7249126, 6208343, 4104881, 4163284, 4517094
1659375612, 89665, 501, 0, 0, 4615179, 2074819, -104894, 7252565, 6210677, 4140556, 4166146, 4537966
1659375612, 91665, 501, 0, 0, 4631770, 2115034, -93214, 7259182, 6214973, 4198079, 4171208, 4570528
1659375612, 93665, 501, 0, 0, 4641774, 2140746, -86450, 7263270, 6217787, 4230971, 4175316, 4587793
1659375612, 95665, 501, 0, 0, 4640554, 2139791, -87623, 7262751, 6217844, 4224904, 4176426, 4582492
1659375612, 97665, 501, 0, 0, 4632490, 2121058, -93702, 7259623, 6216111, 4195443, 4174768, 4564463
1659375612, 99665, 501, 0, 0, 4622752, 2096614, -101124, 7256038, 6213818, 4160244, 4171663, 4543996
1659375612, 101665, 501, 0, 0, 4610848, 2066509, -110140, 7251595, 6210824, 4118606, 4167478, 4520418
1659375612, 103665, 501, 0, 0, 4603258, 2046253, -115905, 7248688, 6208723, 4093418, 4164098, 4507024
1659375612, 105665, 501, 0, 0, 4602389, 2042713, -116704, 7248250, 6208393, 4092451, 4162986, 4507598
1659375612, 107665, 501, 0, 0, 4605563, 2050448, -114372, 7249255, 6209014, 4106649, 4163686, 4516538
1659375612, 109665, 501, 0, 0, 4614923, 2073489, -107603, 7252601, 6211225, 4141784, 4166427, 4537117
1659375612, 111665, 501, 0, 0, 4631477, 2113662, -95961, 7259244, 6215513, 4199283, 4171477, 4569707
1659375612, 113616, 502, 0, 0, 4641761, 2139911, -89032, 7263478, 6218394, 4232924, 4175660, 4587468
1659375612, 115616, 502, 0, 0, 4640754, 2139426, -90099, 7263129, 6218465, 4227461, 4176814, 4582526
1659375612, 117616, 502, 0, 0, 4632711, 2120853, -96168, 7260097, 6216706, 4198129, 4175158, 4564564
1659375612, 119616, 502, 0, 0, 4622947, 2096456, -103633, 7256633, 6214396, 4162952, 4172016, 4544058
1659375612, 121616, 502, 0, 0, 4611040, 2066409, -112619, 7252073, 6211429, 4121307, 4167856, 4520426
1659375612, 123616, 502, 0, 0, 4603301, 2045805, -118442, 7249093, 6209350, 4095613, 4164488, 4506716
1659375612, 125616, 502, 0, 0, 4602267, 2042006, -119306, 7248531, 6208942, 4094265, 4163308, 4507058
1659375612, 127616, 502, 0, 0, 4605395, 2049538, -117016, 7249443, 6209544, 4108169, 4163988, 4515874
1659375612, 129616, 502, 0, 0, 4614627, 2072201, -110307, 7252983, 6211750, 4142740, 4166706, 4536201
1659375612, 131616, 502, 0, 0, 4631133, 2112241, -98659, 7259564, 6216010, 4200089, 4171706, 4568736
1659375612, 133616, 502, 0, 0, 4641596, 2138981, -91552, 7263761, 6218920, 4234505, 4175931, 4586934
1659375612, 135616, 502, 0, 0, 4640810, 2139029, -92429, 7263374, 6219100, 4229796, 4177215, 4582438
1659375612, 137616, 502, 0, 0, 4632878, 2120693, -98442, 7260363, 6217393, 4200708, 4175631, 4564631
1659375612, 139616, 502, 0, 0, 4623084, 2096303, -105933, 7256898, 6215013, 4165499, 4172451, 4544085
1659375612, 141616, 502, 0, 0, 4611235, 2066280, -114907, 7252514, 6212099, 4123814, 4168314, 4520464
1659375612, 143616, 502, 0, 0, 4603403, 2045314, -120881, 7249613, 6209993, 4097539, 4164847, 4506447
1659375612, 145538, 503, 0, 0, 4602295, 2041199, -121887, 7249216, 6209513, 4095790, 4163525, 4506566
1659375612, 147538, 503, 0, 0, 4605338, 2048515, -119687, 7250134, 6210094, 4109384, 4164154, 4515181
1659375612, 149538, 503, 0, 0, 4614420, 2070826, -113121, 7253448, 6212256, 4143499, 4166859, 4535148
1659375612, 151538, 503, 0, 0, 4630869, 2110880, -101443, 7259803, 6216524, 4200993, 4171988, 4567693
1659375612, 153538, 503, 0, 0, 4641463, 2138155, -94125, 7263936, 6219519, 4236277, 4176423, 4586320
1659375612, 155538, 503, 0, 0, 4640795, 2138680, -94822, 7263416, 6219715, 4232280, 4177835, 4582203
1659375612, 157538, 503, 0, 0, 4632948, 2120545, -100750, 7260306, 6218031, 4203435, 4176308, 4564610
1659375612, 159538, 503, 0, 0, 4623321, 2096271, -108201, 7256870, 6215737, 4168342, 4173117, 4544308
1659375612, 161538, 503, 0, 0, 4611606, 2066286, -117199, 7252687, 6212817, 4126624, 4168838, 4520793
1659375612, 163538, 503, 0, 0, 4603703, 2044951, -123337, 7250006, 6210650, 4099656, 4165196, 4506454
1659375612, 165538, 503, 0, 0, 4602596, 2040586, -124432, 7249717, 6210151, 4097502, 4163776, 4506351
1659375612, 167538, 503, 0, 0, 4605608, 2047712, -122292, 7250674, 6210726, 4110816, 4164364, 4514752
1659375612, 169538, 503, 0, 0, 4614579, 2069736, -115800, 7253764, 6212877, 4144534, 4167101, 4534452
1659375612, 171538, 503, 0, 0, 4630948, 2109658, -104139, 7260073, 6217143, 4201984, 4172271, 4566922
1659375612, 173538, 503, 0, 0, 4641733, 2137466, -96631, 7264035, 6220214, 4238147, 4176856, 4586034
1659375612, 175538, 503, 0, 0, 4641208, 2138439, -97192, 7263507, 6220431, 4234792, 4178364, 4582286
1659375612, 177459, 504, 0, 0, 4633421, 2120513, -103076, 7260513, 6218781, 4206203, 4176889, 4564848
1659375612, 179459, 504, 0, 0, 4623770, 2096290, -110545, 7257244, 6216499, 4171146, 4173702, 4544566
1659375612, 181459, 504, 0, 0, 4611989, 2066304, -119601, 7253161, 6213525, 4129397, 4169386, 4520981
1659375612, 183459, 504, 0, 0, 4603882, 2044586, -125872, 7250444, 6211292, 4101879, 4165679, 4506284
1659375612, 185459, 504, 0, 0, 4602635, 2039961, -127051, 7250198, 6210756, 4099358, 4164204, 4505930
1659375612, 187459, 504, 0, 0, 4605549, 2046873, -124950, 7251064, 6211318, 4112406, 4164780, 4514170
1659375612, 189459, 504, 0, 0, 4614341, 2068498, -118540, 7254013, 6213433, 4145616, 4167487, 4533597
1659375612, 191459, 504, 0, 0, 4630684, 2108294, -106879, 7260191, 6217690, 4202925, 4172676, 4566015
1659375612, 193459, 504, 0, 0, 4641693, 2136585, -99247, 7264314, 6220793, 4239815, 4177296, 4585549
1659375612, 195459, 504, 0, 0, 4641347, 2138039, -99706, 7263964, 6221061, 4237149, 4178835, 4582186
1659375612, 197459, 504, 0, 0, 4633587, 2120312, -105554, 7261016, 6219414, 4208791, 4177351, 4564827
1659375612, 199459, 504, 0, 0, 4623986, 2096206, -112996, 7257757, 6217129, 4173823, 4174169, 4544561
1659375612, 201459, 504, 0, 0, 4612231, 2066293, -122001, 7253521, 6214160, 4132118, 4169858, 4520995
1659375612, 203459, 504, 0, 0, 4604038, 2044280, -128330, 7250631, 6211923, 4104114, 4166148, 4506035
1659375612, 205459, 504, 0, 0, 4602760, 2039459, -129519, 7250259, 6211456, 4101296, 4164705, 4505573
1659375612, 207459, 504, 0, 0, 4605579, 2046127, -127505, 7251111, 6211986, 4114025, 4165248, 4513656
1659375612, 209411, 505, 0, 0, 4614183, 2067352, -121256, 7254118, 6214023, 4146688, 4167872, 4532768
1659375612, 211411, 505, 0, 0, 4630485, 2107053, -109605, 7260319, 6218273, 4203918, 4173033, 4565165
1659375612, 213411, 505, 0, 0, 4641661, 2135778, -101807, 7264577, 6221389, 4241521, 4177659, 4585134
1659375612, 215411, 505, 0, 0, 4641543, 2137727, -102096, 7264358, 6221733, 4239524, 4179260, 4582166
1659375612, 217411, 505, 0, 0, 4633919, 2120264, -107844, 7261250, 6220141, 4211455, 4177854, 4564994
1659375612, 219411, 505, 0, 0, 4624374, 2096243, -115209, 7258020, 6217897, 4176594, 4174748, 4544825
1659375612, 221411, 505, 0, 0, 4612648, 2066379, -124192, 7253989, 6214958, 4134901, 4170474, 4521300
1659375612, 223411, 505, 0, 0, 4604291, 2044010, -130635, 7251143, 6212676, 4106349, 4166708, 4506021
1659375612, 225411, 505, 0, 0, 4602910, 2038926, -131902, 7250654, 6212133, 4103176, 4165204, 4505353
1659375612, 227411, 505, 0, 0, 4605620, 2045366, -129968, 7251314, 6212581, 4115601, 4165657, 4513223
1659375612, 229411, 505, 0, 0, 4614061, 2066228, -123844, 7254297, 6214549, 4147741, 4168216, 4532038
1659375612, 231411, 505, 0, 0, 4630231, 2105709, -112316, 7260436, 6218749, 4204723, 4173300, 4564308
1659375612, 233411, 505, 0, 0, 4641621, 2134908, -104413, 7264869, 6221954, 4243036, 4177981, 4584707
1659375612, 235411, 505, 0, 0, 4641665, 2137292, -104586, 7264693, 6222316, 4241671, 4179653, 4582088
1659375612, 237411, 505, 0, 0, 4634086, 2120014, -110314, 7261763, 6220697, 4213843, 4178263, 4564996
1659375612, 239411, 505, 0, 0, 4624549, 2096098, -117675, 7258422, 6218458, 4179057, 4175131, 4544836
1659375612, 241333, 506, 0, 0, 4612949, 2066402, -126594, 7254259, 6215621, 4137589, 4170931, 4521443
1659375612, 243333, 506, 0, 0, 4604428, 2043708, -133184, 7251368, 6213285, 4108539, 4167118, 4505835
1659375612, 245333, 506, 0, 0, 4602910, 2038324, -134571, 7250934, 6212694, 4104989, 4165544, 4504941
1659375612, 247333, 506, 0, 0, 4605579, 2044589, -132686, 7251731, 6213204, 4117191, 4166016, 4512718
1659375612, 249333, 506, 0, 0, 4613879, 2065076, -126681, 7254691, 6215158, 4148813, 4168547, 4531234
1659375612, 251333, 506, 0, 0, 4629994, 2104344, -115176, 7260934, 6219319, 4205589, 4173593, 4563396
1659375612, 253333, 506, 0, 0, 4641647, 2134077, -107053, 7265293, 6222585, 4244733, 4178348, 4584287
1659375612, 255333, 506, 0, 0, 4641968, 2137003, -107046, 7265035, 6223041, 4244118, 4180125, 4582100
